TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
26 junio 2023 13:58 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
113,66,58.4070,66,58.4070,0,24721,16980,68.6865

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,FCN-NACION,AZUL,PHG,CABAL,MLP,VIVA,VAMOS,ELEFANTE,U R N G - MAIZ,TODOS,UNE,SEMILLA,PPN,VOS,VALOR,CREO,P A N,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19953,"Alta Verapaz",16,"Cahabón",12,3078,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19954,"Alta Verapaz",16,"Cahabón",12,3078,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19955,"Alta Verapaz",16,"Cahabón",12,3078,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19956,"Alta Verapaz",16,"Cahabón",12,3079,380,9,7,54,8,0,72,85,0,1,1,33,7,3,0,4,0,0,1,285,20,12,317,0,317,1,380,63,285,317,317,,1,8178385ab5f664e8b2db959b773ca7cbf1ab1dda067b69d459b98bf73b5a1040,26/06/2023 06:43:00,ESCANER
19957,"Alta Verapaz",16,"Cahabón",12,3079,380,9,3,59,1,1,75,71,1,0,0,56,7,3,0,8,0,1,0,295,12,12,319,0,319,--,377,58,295,319,319,Algún campo sin dato,1,142249dc6555f77c46c071cf2da64d6025d3fc755c38c238dcc2c755612f2693,26/06/2023 06:47:44,ESCANER
19958,"Alta Verapaz",16,"Cahabón",12,3080,380,4,1,62,1,1,87,62,0,0,2,43,11,3,0,9,0,4,1,291,11,9,311,0,311,--,377,66,291,311,311,Algún campo sin dato,1,712b0ec70673d5ea74e9361014b0f1ddbe9eb0b908c96fd5bda4bb6a0938ae70,26/06/2023 06:40:40,ESCANER
19959,"Alta Verapaz",16,"Cahabón",12,3081,380,3,3,72,5,2,71,63,1,0,0,39,2,1,0,13,0,1,0,276,6,8,290,0,290,--,380,90,276,290,290,Algún campo sin dato,1,79ee240da70d3ff58a31add0d52cd15db985fda83a628153009e9c696214ed8d,26/06/2023 06:48:21,ESCANER
19960,"Alta Verapaz",16,"Cahabón",12,3082,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19961,"Alta Verapaz",16,"Cahabón",12,3083,380,3,3,52,1,0,94,43,0,0,0,29,2,2,0,4,0,1,0,234,3,4,241,0,241,--,380,139,234,241,241,Algún campo sin dato,1,68ff5d8b63257f2b1d106364dd570c1c75ddf552dd80f60b5a44f751c7fb8664,26/06/2023 00:19:58,ESCANER
19962,"Alta Verapaz",16,"Cahabón",12,3083,304,1,1,46,2,0,46,46,0,0,0,16,2,0,0,5,0,0,0,165,3,4,172,0,172,--,304,132,165,172,172,Algún campo sin dato,1,d6891ba262ec6561f1b8a8a55997ef658fe4fe321b0c633ba29a241328a4adea,26/06/2023 00:26:23,ESCANER
19963,"Alta Verapaz",16,"Cahabón",12,3084,304,5,3,32,3,0,38,49,0,0,0,31,1,4,0,3,0,1,0,170,2,3,175,0,175,--,304,129,170,175,175,Algún campo sin dato,1,1b679a1974f441cd1cc85a034409b8bc8bca665020fbdc82ad4194d613a36bb4,25/06/2023 23:55:03,ESCANER
19964,"Alta Verapaz",16,"Cahabón",12,3085,380,7,1,35,4,3,19,102,0,1,0,53,4,3,2,45,0,1,1,281,24,17,322,0,322,--,380,58,281,322,322,Algún campo sin dato,1,009822021ffac5be9601adaa07aed48ed43a3c6696627481b6cc2c5f06ed1bd5,26/06/2023 04:26:20,ESCANER
19965,"Alta Verapaz",16,"Cahabón",12,3085,380,8,3,31,3,1,21,77,0,2,0,71,17,6,2,36,1,0,1,280,25,13,318,0,318,--,380,62,280,318,318,Algún campo sin dato,1,66cc48c6039d1a0895c4cad081b32f816bcc71775929a54af70dd6cef7a3a013,26/06/2023 03:06:39,ESCANER
19966,"Alta Verapaz",16,"Cahabón",12,3085,380,3,7,43,4,1,12,77,0,0,0,50,3,3,6,57,1,1,1,269,20,8,297,0,297,--,380,83,269,297,297,Algún campo sin dato,1,ff00bcff885837a2afdbf5faff2549c4b2033b0823453f7455c7dc184cb8a5d1,26/06/2023 04:42:16,ESCANER
19967,"Alta Verapaz",16,"Cahabón",12,3085,380,9,1,27,3,2,19,80,0,1,0,58,1,10,6,51,0,0,1,269,20,8,297,0,297,--,377,80,269,297,297,Algún campo sin dato,1,bb5ad17b56052951b8895a2884c7f9a38eb3209645d97b8bcc855b0462882bb5,26/06/2023 02:22:58,ESCANER
19968,"Alta Verapaz",16,"Cahabón",12,3085,380,10,0,28,9,15,29,91,0,1,2,46,0,20,3,32,0,0,0,286,24,10,320,0,320,--,380,60,286,320,320,Algún campo sin dato,1,037a879f358ad4cbaf2e0b1df205098d99878b175615791a4b99250ad6b454f7,26/06/2023 02:02:36,ESCANER
19969,"Alta Verapaz",16,"Cahabón",12,3085,380,3,2,37,5,6,23,73,0,1,1,40,4,8,3,49,0,0,2,257,25,8,290,0,290,--,380,90,257,290,290,Algún campo sin dato,1,c789d297b590743e1b7e7b6e20c39ab137f097eaf119ddecbfe4f968804b5302,26/06/2023 08:59:54,ESCANER
19970,"Alta Verapaz",16,"Cahabón",12,3085,380,8,1,36,5,1,24,60,0,0,0,39,5,4,6,26,0,0,0,215,9,1,225,0,225,--,380,155,215,225,225,Algún campo sin dato,1,1f9814c17077653611c918f233b9aebe7342b1c62364dae6ed3e5fe44c6c1050,26/06/2023 07:42:25,ESCANER
19971,"Alta Verapaz",16,"Cahabón",12,3086,380,3,0,25,3,3,20,74,0,0,0,49,5,5,1,28,0,0,0,216,6,0,222,0,222,--,380,158,216,222,222,Algún campo sin dato,1,4fca12f4919395abfe70ea14ca0853126c3f0585d8da407471f3f49d11dc1092,26/06/2023 04:36:27,ESCANER
19972,"Alta Verapaz",16,"Cahabón",12,3087,380,3,2,29,1,3,16,73,0,0,0,23,1,7,3,53,0,0,0,214,4,3,221,0,221,--,380,159,214,221,221,Algún campo sin dato,1,25c47d2da3f51fc2a5b6f5fd48221162feed22883060a492a6ca4bbe81eb4a7c,26/06/2023 02:38:07,ESCANER
19973,"Alta Verapaz",16,"Cahabón",12,3087,204,1,0,20,2,1,8,28,0,0,0,22,1,5,0,31,0,0,0,119,7,3,129,0,129,--,204,75,119,129,129,Algún campo sin dato,1,cb8320260462afbf0edbbab3df0f8a47d36b1028d31cfba4a3cab46882b60d3a,26/06/2023 02:03:26,ESCANER
19974,"Alta Verapaz",16,"Cahabón",12,3088,204,6,0,18,2,1,9,43,0,0,0,28,3,2,1,12,0,0,0,125,4,2,131,0,131,--,204,73,125,131,131,Algún campo sin dato,1,3393bda48406b4a1ffd1749406e0faf94ee8bf62de5f88a320c229c782aebcb5,26/06/2023 02:01:56,ESCANER
19975,"Alta Verapaz",16,"Cahabón",12,3089,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19976,"Alta Verapaz",16,"Cahabón",12,3089,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19977,"Alta Verapaz",16,"Cahabón",12,3090,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19978,"Alta Verapaz",16,"Cahabón",12,3090,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19979,"Alta Verapaz",16,"Cahabón",12,3091,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19980,"Alta Verapaz",16,"Cahabón",12,3091,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19981,"Alta Verapaz",16,"Cahabón",12,3092,315,1,4,10,2,0,1,5,0,0,0,5,0,1,0,3,0,0,0,32,0,1,33,0,33,--,315,282,32,33,33,Algún campo sin dato,1,a55ba2254d5629338d01518da7971f7241646bc6bcbbff53f58a4674f931ed0b,25/06/2023 21:30:16,ESCANER
